zip_zipcode	zip_street	area	Latitude	Longitude		
12227900	Avenida Brigadeiro Faria Lima, 1758	Jardim da Granja	-23,2163	-45,8408	-23,2163	-45,8408
12245000	Avenida Engenheiro Francisco José Longo	Jardim São Dimas	-23,1997	-45,889	-23,1997	-45,889
12245001	Avenida Engenheiro Francisco José Longo	Jardim São Dimas	-23,2001	-45,889	-23,2001	-45,889
12245010	Avenida Doutor Adhemar de Barros	Jardim São Dimas	-23,1998	-45,8921	-23,1998	-45,8921
12245011	Avenida Doutor Adhemar de Barros	Jardim São Dimas	-23,1998	-45,8921	-23,1998	-45,8921
12245020	Rua Paraibuna - até 1501 - lado ímpar	Jardim São Dimas	-23,1995	-45,8866	-23,1995	-45,8866
12245021	Rua Paraibuna - até 1502 - lado par	Jardim São Dimas	-23,2041	-45,8842	-23,2041	-45,8842
12245022	Viaduto Sérgio Sobral de Oliveira	Jardim São Dimas	-23,2002	-45,8865	-23,2002	-45,8865
12245030	Avenida Doutor Nelson D'Avila	Jardim São Dimas	31,4834	-91,4061	31,4834	-91,4061
12245031	Avenida Doutor Nelson D'Avila	Jardim São Dimas	-23,1949	-45,8857	-23,1949	-45,8857
12245051	Travessa Darcy de Oliveira	Jardim São Dimas	-23,2971	-45,9271	-23,2971	-45,9271
12245061	Rua Manoel Ricardo Júnior	Jardim São Dimas	-23,1942	-45,8869	-23,1942	-45,8869
12245070	Travessa João Friggi	Jardim São Dimas	-23,1937	-45,8862	-23,1937	-45,8862
12245080	Travessa Rocha Pombo	Jardim São Dimas	-23,1944	-45,8874	-23,1944	-45,8874
12245100	Rua Doutor Mário Sampaio Martins	Jardim São Dimas	-23,1939	-45,8847	-23,1939	-45,8847
12245105	Praça Corretor de Imóveis	Jardim São Dimas	-23,2237	-45,9009	-23,2237	-45,9009
12245110	Rua Arnaldo Ricardo Monteiro	Jardim São Dimas	-23,2046	-45,8928	-23,2046	-45,8928
12245112	Travessa Manoel da Nóbrega	Jardim São Dimas	-23,1946	-45,8852	-23,1946	-45,8852
12245120	Rua Antônio da Silva Santos	Jardim São Dimas	-23,1921	-45,885	-23,1921	-45,885
12245130	Rua Leonildo Ramos Cruz	Jardim São Dimas	-23,1919	-45,8837	-23,1919	-45,8837
12245190	Rua Maestro Egydio Pinto	Jardim São Dimas	-23,1955	-45,8887	-23,1955	-45,8887
12245200	Rua Brigadeiro Osvaldo Nascimento Leal	Jardim São Dimas	-23,2012	-45,8895	-23,2012	-45,8895
12245230	Avenida Tivoli	Jardim São Dimas	-23,2077	-45,89	-23,2077	-45,89
12245280	Avenida Heitor Villa Lobos - de 1450/1451 a 1989/1990	Jardim São Dimas	-23,2041	-45,8935	-23,2041	-45,8935
12245290	Rua Tufi Simão Filho	Jardim São Dimas	-23,1984	-45,8887	-23,1984	-45,8887
12245300	Rua Ezra	Jardim São Dimas	-23,1983	-45,8887	-23,1983	-45,8887
12245310	Rua Helena David Neme	Jardim São Dimas	-23,1973	-45,89	-23,1973	-45,89
12245330	Rua Professor Frederico Eyer	Jardim São Dimas	-23,19	-45,8846	-23,19	-45,8846
12245340	Praça Elza Ferreira Rahal	Jardim São Dimas	-23,19	-45,8846	-23,19	-45,8846
12245360	Praça Melvin Jones	Jardim São Dimas	-23,1965	-45,8896	-23,1965	-45,8896
12245370	Rua Inconfidência	Jardim São Dimas	-23,197	-45,8881	-23,197	-45,8881
12245380	Rua Eliza Costa Santos	Jardim São Dimas	-23,1971	-45,8884	-23,1971	-45,8884
12245390	Rua Jorge de Moraes Barros	Jardim São Dimas	-23,1949	-45,8891	-23,1949	-45,8891
12245400	Rua José Antônio Romeno Neme	Jardim São Dimas	-23,1944	-45,8899	-23,1944	-45,8899
12245410	Rua Maria Francisca Froes	Jardim São Dimas	-23,1998	-45,8873	-23,1998	-45,8873
12245411	Rua Amin Assad	Jardim São Dimas	-23,2007	-45,8876	-23,2007	-45,8876
12245420	Travessa Senador Accyoli Filho	Jardim São Dimas	-23,19	-45,8846	-23,19	-45,8846
12245430	Rua Ilza Irma Moeller Coppio	Jardim São Dimas	-23,1556	-45,9105	-23,1556	-45,9105
12245440	Praça Monsenhor Ascânio Brandão	Jardim São Dimas	-23,0152	-45,5551	-23,0152	-45,5551
12245450	Rua José Mattar	Jardim São Dimas	-23,2371	-45,9098	-23,2371	-45,9098
12245460	Rua Paulo Setúbal	Jardim São Dimas	-23,1934	-45,8888	-23,1934	-45,8888
12245903	Avenida Doutor Nelson D'Avila, 1125	Jardim São Dimas	-23,1911	-45,8889	-23,1911	-45,8889
12230000	Avenida Andrômeda - até 2531 - lado ímpar	Jardim Satélite	-23,2193	-45,8916	-23,2193	-45,8916
12230001	Avenida Andrômeda - até 2530 - lado par	Jardim Satélite	-23,2193	-45,8916	-23,2193	-45,8916
